word_id,word,meaning_ja,meaning_zh,part_of_speech,example_en,example_ja,example_zh,hint,hint_zh,difficulty
g2_001,abolish,廃止する,廢止,v,They abolished the old law.,彼らは古い法律を廃止しました。,他們廢除了舊法律。,ab（完全に）＋olish（壊す）,ab（完全）+ olish（破壞）,5
g2_002,accumulate,蓄積する,積蓄,v,He accumulated wealth over years.,彼は長年にわたって富を蓄積しました。,多年來他積累了財富。,ac＋cumulate（山を積む）→どんどん積み上げる,ac + cumulate（堆積如山）,5
g2_003,ambiguous,曖昧な,曖昧,adj,His answer was ambiguous.,彼の答えは曖昧でした。,他的回答很模糊。,ambi（両方）＋iguous（動く）→どちらとも取れる,ambi（兩者）+ iguous（動）,5
g2_004,anticipate,予期する,預期,v,We anticipate strong demand.,私たちは強い需要を予期しています。,我們期待着強勁的需求。,anti（前に）＋cipate（取る）→前もって取り込む,anti（前）+ cipate（取）,5
g2_005,arbitrary,恣意的な,恣意的,adj,The decision seemed arbitrary.,その決定は恣意的に見えました。,這個決定看起來很隨意。,arbitr（審判）→審判が一人で決める,arbitr（審判）由裁判一個人決定,5
g2_006,cease,やめる,住手,v,The fighting finally ceased.,戦闘はついに終わりました。,戰鬥終於結束了。,cease fire（停戦）という表現で覚える,用cease fire（停戰）來記憶,5
g2_007,coherent,一貫した,一貫的,adj,Please give a coherent explanation.,一貫した説明をしてください。,請做出連貫的解釋。,co（共に）＋herent（くっつく）→全体がくっついている,co（一起）+ herent（粘在一起）→整體粘在一起,5
g2_008,compensate,補償する,補償,v,The company compensated the workers.,会社は労働者を補償しました。,公司賠償了工人。,com（完全に）＋pensate（重さを量る）→重さを合わせる,com（完全）+ pensate（稱重）,5
g2_009,controversy,論争,爭論,n,The policy caused controversy.,その政策は論争を引き起こしました。,那個政策引起了爭論。,contra（反対）＋versy（回す）→反対意見が回り続ける,contra（反對）+ versy（旋轉）,5
g2_010,deteriorate,悪化する,惡化,v,His health deteriorated rapidly.,彼の健康は急速に悪化しました。,他的健康狀況迅速惡化。,de（下に）＋teriorate（悪い方へ）,de（下）+ teriorate（壞的）,5
g2_011,eloquent,雄弁な,雄辯,adj,She gave an eloquent speech.,彼女は雄弁なスピーチをしました。,她做了雄辯的演講。,e（外に）＋loquent（話す）→言葉を外に流暢に出す,e（向外）+ loquent（說）→流利地表達語言,5
g2_012,fluctuate,変動する,變動,v,Prices fluctuate daily.,価格は毎日変動します。,價格每天都在波動。,fluctu（流れる）＋ate→流れるように変わる,fluctu（流動）+ ate（流動）,5
g2_013,inevitable,避けられない,不可避免,adj,Change is inevitable.,変化は避けられません。,變化是不可避免的。,in（否定）＋evitable（避けられる）,in（否定）+ evitable（可避免）,5
g2_014,premises,前提,前提,n,We must question our premises.,私たちは前提を疑わなければなりません。,我們必須懷疑前提。,pre（前に）＋mise（置く）→前に置かれたもの,pre（前面）+ mise（放置）→放在前面的東西,5
g2_015,subsequent,その後の,之後的,adj,Subsequent events proved him right.,その後の出来事が彼の正しさを証明しました。,後來的事情證明了他的正確。,sub（後に）＋sequent（続く）,sub（後）+ sequent（後）,5
grade_2_0016,cloud,雲,雲,n,The cloud is white.,雲は白いです。,雲是白色的。,,,1
grade_2_0017,run,走る,跑,v,I will run in the park.,私は公園で走ります。,我在公園跑步。,,,1
grade_2_0018,big,大きい,大,adj,This house is big.,この家は大きいです。,房子很大。,,,1
grade_2_0019,quickly,すぐに,馬上,adv,I will finish my homework quickly.,私はすぐに宿題を終わらせます。,我馬上做完作業。,,,1
grade_2_0020,in,の中に,裏面,prep,The book is in the box.,本は箱の中にあります。,書在盒子裏。,,,1
grade_2_0021,table,机,桌子,n,The table is made of wood.,机は木でできています。,桌子是木頭做的。,,,1
grade_2_0022,read,読む,閱讀,v,I like to read books.,私は本を読むことを好きです。,我喜歡讀書。,,,1
grade_2_0023,happy,幸せな,幸福的,adj,I am happy today.,私は今日幸せです。,我今天很幸福。,,,1
grade_2_0024,slowly,ゆっくり,慢慢來,adv,Please walk slowly.,ゆっくり歩いてください。,請慢慢走。,,,1
grade_2_0025,on,の上に,在上面,prep,The book is on the table.,本は机の上にあります。,書在桌子上。,,,1
grade_2_0026,music,音楽,音樂,n,I like listening to music.,私は音楽を聴くことを好きです。,我喜歡聽音樂。,,,1
grade_2_0027,write,書く,寫,v,I will write a letter.,私は手紙を書きます。,我寫信。,,,1
grade_2_0028,tall,背が高い,個子高,adj,My brother is tall.,私の兄は背が高いです。,我哥哥個子很高。,,,1
grade_2_0029,loudly,うるさく,吵,adv,Please don't speak loudly.,うるさく話さないでください。,請不要嘮叨。,,,1
grade_2_0030,at,に,二,prep,I will meet you at the station.,私は駅であなたに会います。,我在車站見你。,,,1
grade_2_0031,flower,花,花,n,The flower is beautiful.,花は美しいです。,花是美麗的。,,,1
grade_2_0032,learn,習う,學習,v,I want to learn English.,私は英語を習いたいです。,我想學英語。,,,1
grade_2_0033,old,古い,舊,adj,This book is old.,この本は古いです。,這本書是舊的。,,,1
grade_2_0034,quick,速い,快,adj,He is a quick runner.,彼は速いランナーです。,他是一個快速跑者。,,,1
grade_2_0035,from,から,從,prep,I am from Japan.,私は日本から来ました。,我是從日本來的。,,,1
grade_2_0036,bird,鳥,鳥,n,The bird is singing.,鳥は歌っています。,鳥兒在歌唱。,,,1
grade_2_0037,swim,泳ぐ,游泳,v,I like to swim.,私は泳ぐことを好きです。,我喜歡游泳。,,,1
grade_2_0038,long,長い,長,adj,This road is long.,この道は長いです。,這條路很長。,,,1
grade_2_0039,to,へ,對,prep,I am going to the store.,私は店へ行きます。,我去商店。,,,1
grade_2_0040,fish,魚,魚,n,I like to eat fish.,私は魚を食べることを好きです。,我喜歡吃魚。,,,1
grade_2_0041,play,遊ぶ,玩,v,I like to play soccer.,私はサッカーを遊ぶことを好きです。,我喜歡踢足球。,,,1
grade_2_0042,high,高い,高,adj,The mountain is high.,山は高いです。,山很高。,,,1
grade_2_0043,with,と,和,prep,I am with my friends.,私は友達と一緒にいます。,我和朋友在一起。,,,1
grade_2_0044,tree,木,樹,n,The tree is green.,木は緑です。,樹是綠色的。,,,1
grade_2_0045,dance,踊る,跳舞,v,I like to dance.,私は踊ることを好きです。,我喜歡跳舞。,,,1
grade_2_0046,cold,冷たい,冰冷,adj,The water is cold.,水は冷たいです。,水是冷的。,,,1
grade_2_0047,by,によって,根據,prep,I will meet you by the station.,私は駅の近くであなたに会います。,我在車站附近見你。,,,1
grade_2_0048,car,車,車,n,I have a car.,私は車を持っています。,我有車。,,,1
grade_2_0049,sing,歌う,唱歌,v,I like to sing.,私は歌うことを好きです。,我喜歡唱歌。,,,1
grade_2_0050,hot,熱い,熱烈,adj,The coffee is hot.,コーヒーは熱いです。,咖啡很熱。,,,1
grade_2_0051,under,下に,下,prep,The book is under the table.,本は机の下にあります。,書在桌子下面。,,,1
